City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,sopur,34.3,74.4667,299.69,52,0,1.43,IN,1690782848
268,ghogha,21.6833,72.2833,303.78,69,99,7.9,IN,1690782849
269,bel ombre,-4.6167,55.4167,300.06,78,40,5.14,SC,1690782851
270,zabol,32.25,67.25,302.79,21,9,2.51,AF,1690782852
271,st. john's,47.5649,-52.7093,288.13,97,100,2.57,CA,1690782853
272,la ronge,55.1001,-105.2842,291.29,72,40,1.54,CA,1690782854
273,alto araguaia,-17.3147,-53.2153,291.61,51,34,1.86,BR,1690782856
274,lompoc,34.6391,-120.4579,290.23,89,0,1.54,US,1690782857
275,atafu village,-8.5421,-172.5159,301.41,78,61,7.28,TK,1690782793
276,baley,51.6,116.6333,306.5,24,94,6.43,RU,1690782859
277,lamu,-2.2717,40.902,298.27,70,53,6.47,KE,1690782861
278,ust-nera,64.5667,143.2,281.07,95,100,3.24,RU,1690782862
279,tsimlyansk,47.6461,42.1019,299.96,40,9,0.44,RU,1690782863
280,lashio,22.9333,97.75,296.26,97,100,0.9,MM,1690782864
281,hinton,53.4001,-117.5857,284.76,95,33,1.89,CA,1690782866
282,micheweni,-4.9667,39.8333,298.67,67,67,5.76,TZ,1690782867
283,tannum sands,-23.9504,151.3693,297.09,46,68,4.63,AU,1690782868
284,sibolga,1.7427,98.7792,302.95,65,100,2.15,ID,1690782869
285,oban,56.4127,-5.4706,286.14,90,100,1.85,GB,1690782870
286,fortaleza,-3.7227,-38.5247,300.49,74,75,9.26,BR,1690782641
287,sitka,57.0531,-135.33,288.09,88,100,1.54,US,1690782687
288,douvres-la-delivrande,49.2947,-0.3804,291.45,77,75,7.2,FR,1690782874
289,tofol,5.3248,163.0078,304.03,74,75,1.54,FM,1690782875
290,plastun,44.7561,136.2939,300.53,61,42,0.63,RU,1690782876
291,jingling,30.65,113.1,306.08,69,84,4.39,CN,1690782878
292,sanming,26.2486,117.6186,303.22,78,86,1.2,CN,1690782879
293,acarau,-2.8856,-40.12,299.04,82,2,6.81,BR,1690782880
294,alice springs,-23.7,133.8833,297.9,29,29,5.66,AU,1690782763
295,kaoma,-14.7833,24.8,287.21,31,17,3.35,ZM,1690782882
296,nema,57.5067,50.5011,296.16,71,68,2.25,RU,1690782884
297,bengkulu,-3.8004,102.2655,302.28,68,21,5.09,ID,1690782883
298,petrovsk-zabaykal'skiy,51.273,108.843,304.96,31,99,1.45,RU,1690782886
299,bintulu,3.1667,113.0333,305.38,66,20,2.68,MY,1690782826
300,santa elena,-2.2333,-80.85,295.78,80,55,3.05,EC,1690782888
301,colonia menno,-22.3667,-59.8167,294.64,55,0,3.61,PY,1690782890
302,yuksekova,37.5736,44.2872,292.01,34,20,0.0,TR,1690782891
303,mana,5.6592,-53.7767,297.92,91,4,3.78,GF,1690782893
304,fort st. john,56.2499,-120.8529,291.09,52,75,6.17,CA,1690782895
305,ribeira grande,38.5167,-28.7,295.8,97,14,0.89,PT,1690782896
306,umluj,25.0213,37.2685,305.19,52,2,1.55,SA,1690782898
307,carmo do rio claro,-20.9719,-46.1189,286.97,91,3,0.78,BR,1690782901
308,khandyga,62.6667,135.6,293.94,49,51,2.41,RU,1690782902
309,saldanha,-33.0117,17.9442,282.18,74,75,4.74,ZA,1690782903
310,iwanai,42.9744,140.5089,295.46,94,100,2.16,JP,1690782904
311,turpan,42.9333,89.1667,310.12,24,95,4.93,CN,1690782905
312,ponta delgada,37.7333,-25.6667,296.55,88,75,1.54,PT,1690782907
313,banda aceh,5.5577,95.3222,303.74,66,96,7.03,ID,1690782908
314,tierp,60.3427,17.5181,290.91,81,97,1.2,SE,1690782909
315,medicine hat,50.0501,-110.6683,291.39,82,75,3.09,CA,1690782912
316,jiangzi,28.95,89.6333,290.57,31,60,1.93,CN,1690782913
317,ollon,46.2952,6.9931,290.05,85,86,1.09,CH,1690782914
318,abepura,-2.6333,140.5833,307.6,43,20,2.57,ID,1690782915
319,ciudad insurgentes,25.2625,-111.7753,298.09,66,1,3.93,MX,1690782916
320,selfoss,63.9331,-20.9971,284.84,94,98,0.8,IS,1690782918
321,temiskaming shores,47.4938,-79.7153,285.04,96,91,1.83,CA,1690782919
322,agapovka,53.2973,59.1348,300.34,49,11,3.46,RU,1690782920
323,extrema,-22.8547,-46.3183,284.99,94,2,1.43,BR,1690782921
324,klaksvik,62.2266,-6.589,285.66,96,100,4.61,FO,1690782923
325,luganville,-15.5333,167.1667,295.98,81,78,4.8,VU,1690782924
326,el bayadh,33.6832,1.0193,299.77,27,70,1.87,DZ,1690782832
327,flying fish cove,-10.4217,105.6791,298.97,69,75,6.69,CX,1690782926
328,fale old settlement,-9.3852,-171.2468,301.66,76,59,6.81,TK,1690782928
329,iquique,-20.2208,-70.1431,291.17,75,8,0.89,CL,1690782929
330,port elizabeth,-33.918,25.5701,285.43,62,20,9.26,ZA,1690782930
331,tefe,-3.3542,-64.7114,298.31,74,85,0.63,BR,1690782931
332,chernyshevskiy,63.0128,112.4714,298.16,31,60,5.15,RU,1690782934
333,hamilton,39.1834,-84.5333,295.12,84,0,0.45,US,1690782824
334,great falls,47.5002,-111.3008,296.71,59,0,2.57,US,1690782936
335,tarawa,1.419,172.984,300.2,89,100,7.72,KI,1690782937
336,wusong,30.95,117.7833,302.23,82,98,1.11,CN,1690782938
337,allanridge,-27.7543,26.6438,274.13,60,0,1.9,ZA,1690782940
338,cave creek,33.8333,-111.9508,307.97,30,59,4.12,US,1690782941
339,yatou,37.15,122.3833,302.44,70,85,5.03,CN,1690782942
340,la punta,-33.1837,-66.3127,287.85,51,100,2.4,AR,1690782943
341,mezhdurechensk,53.6942,88.0603,300.13,50,5,3.83,RU,1690782945
342,tindouf,27.6711,-8.1474,305.4,14,0,4.63,DZ,1690782946
343,al qusayr,34.5091,36.5798,301.69,38,0,1.46,SY,1690782947
344,montepuez,-13.1256,38.9997,295.16,44,0,1.43,MZ,1690782948
345,sambava,-14.2667,50.1667,296.81,77,73,4.49,MG,1690782949
346,antonio enes,-16.2325,39.9086,296.3,62,2,2.23,MZ,1690782951
347,broome,42.2506,-75.833,288.17,84,40,0.98,US,1690782953
348,ayacucho,-13.1583,-74.2239,282.38,86,28,0.78,PE,1690782704
349,gadzhiyevo,69.2551,33.3362,284.54,92,39,4.26,RU,1690782955
350,shahabad,27.65,79.95,308.85,49,8,2.89,IN,1690782957
351,kapa'a,22.0752,-159.319,300.33,81,40,6.17,US,1690782958
352,isangel,-19.55,169.2667,296.21,68,75,2.57,VU,1690782959
353,praia da vitoria,38.7333,-27.0667,296.9,94,20,2.06,PT,1690782960
354,kharkhorin,47.1975,102.8238,300.23,52,97,2.6,MN,1690782963
355,nar'yan-mar,67.6713,53.087,299.67,64,73,4.34,RU,1690782964
356,baganga,7.5739,126.56,303.35,75,78,4.74,PH,1690782965
357,mytilene,39.11,26.5547,298.83,73,0,5.14,GR,1690782966
358,champerico,14.3,-91.9167,299.89,80,96,2.68,GT,1690782968
359,san patricio,28.017,-97.5169,302.51,83,76,3.43,US,1690782969
360,khao wong,16.7001,104.0902,298.68,93,100,1.65,TH,1690782970
361,port macquarie,-31.4333,152.9167,294.2,54,2,4.14,AU,1690782971
362,umm kaddadah,13.6017,26.6876,299.71,65,97,8.14,SD,1690782974
363,gaspe,48.8334,-64.4819,288.1,100,20,1.54,CA,1690782975
